NAME,weekly_income
Barking and Dagenham,462.2
Barnet,485.6
Bexley,487
Brent,467
Bromley,584.3
Camden,632.5
Croydon,512.3
Ealing,498.3
Enfield,463.9
Greenwich,539.3
Hackney,527.8
Hammersmith and Fulham,641.9
Haringey,481.9
Harrow,522.8
Havering,532.6
Hillingdon,499.8
Hounslow,500.9
Islington,613.3
Kensington and Chelsea,651.6
Kingston upon Thames,566.7
Lambeth,551.7
Lewisham,520.6
Merton,585.3
Newham,436.7
Redbridge,521.8
Richmond upon Thames,688.8
Southwark,543
Sutton,532.9
Tower Hamlets,557.9
Waltham Forest,483.4
Wandsworth,684.7
Westminster,667.5
