area_id,NAME,par1_perc_2012,par1_pop_2012,par3_perc_2012,par3_pop_2012,par0_perc_2012,par0_pop_2012
E09000002,Barking and Dagenham,26.1,36500,13.5,18900,60.8,85200
E09000003,Barnet,39.1,112300,18.4,52900,49.4,142000
E09000004,Bexley,34.9,65000,18.4,34300,51.8,96600
E09000005,Brent,32.6,81600,14.5,36300,55.4,138800
E09000006,Bromley,41.7,105000,18.7,47200,45.5,114600
E09000007,Camden,45.7,85800,23.3,43800,41,77100
E09000008,Croydon,36.8,106000,17.4,50100,51.5,148600
E09000009,Ealing,37.3,100900,20.8,56300,49.8,134800
E09000010,Enfield,32.4,79500,14.6,35800,55.8,137100
E09000011,Greenwich,33.4,68000,15.1,30800,52.2,106200
E09000012,Hackney,38.9,77700,17.9,35700,48.2,96300
E09000013,Hammersmith and Fulham,44.2,66200,27.3,40900,44.2,66300
E09000014,Haringey,38.3,79000,18,37000,48.6,100500
E09000015,Harrow,35.4,68400,14.4,27900,51,98800
E09000016,Havering,32.9,64100,17.5,34100,55.9,108800
E09000017,Hillingdon,42.6,94700,21.3,47300,48.9,109000
E09000018,Hounslow,32.8,67400,16.4,33600,52.6,108200
E09000019,Islington,43.1,76300,23.5,41700,39.1,69300
E09000020,Kensington and Chelsea,44.2,57900,25.2,33100,44,57800
E09000021,Kingston upon Thames,41.8,55400,19.5,25800,44,58400
E09000022,Lambeth,42.5,108100,23.1,58700,44.9,114400
E09000023,Lewisham,37.4,83400,14.4,32000,47.2,105400
E09000024,Merton,42.9,69500,22.6,36600,44.7,72400
E09000025,Newham,30,72800,16.9,41000,62.5,151500
E09000026,Redbridge,39.5,87000,16.8,36900,49,107900
E09000027,Richmond upon Thames,50.8,76700,26.6,40100,36.8,55600
E09000028,Southwark,38.6,92200,19.1,45600,49.3,117800
E09000029,Sutton,39.3,60700,19.1,29600,48.1,74400
E09000030,Tower Hamlets,38.9,81900,18.5,38800,51.2,107900
E09000031,Waltham Forest,37,76000,17.1,35200,53.7,110600
E09000032,Wandsworth,44.2,113000,23.3,59600,40.2,102900
E09000033,Westminster,43.5,82300,23.4,44300,45.7,86600
